Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F27,27,ARPSO-Global,1,22962430,3151.1657051454818,2700.0,451.16570514548175,1516,10966,308.6347424983978,300000
F27,27,ARPSO-Global,3,22962432,3232.47299506805,2700.0,532.4729950680498,1562,11362,308.84062242507935,300000
F27,27,ARPSO-Global,4,22962433,3117.502893985007,2700.0,417.5028939850072,1594,11209,297.0448169708252,300000
F27,27,ARPSO-Global,5,22962434,3180.2598146820783,2700.0,480.2598146820783,1528,11230,293.5339078903198,300000
F27,27,ARPSO-Global,6,22962435,3148.289345792164,2700.0,448.2893457921641,1513,10926,295.1926963329315,300000
F27,27,ARPSO-Global,7,22962436,3161.636827345024,2700.0,461.6368273450239,1543,11215,294.8138792514801,300000
F27,27,ARPSO-Global,8,22962437,2717.391931254469,2700.0,17.391931254469,1703,11268,294.3756606578827,300000
F27,27,ARPSO-Global,9,22962438,3182.6226742964122,2700.0,482.62267429641224,1607,11773,293.7561798095703,300000
F27,27,ARPSO-Global,10,22962439,2700.0016242539164,2700.0,0.00162425391636134,1720,11423,294.54496932029724,300000
F27,27,ARPSO-Global,11,22962440,3202.2154492402124,2700.0,502.21544924021237,1503,11069,295.3392641544342,300000
F27,27,ARPSO-Global,12,22962441,3228.6176801792826,2700.0,528.6176801792826,1588,11611,295.8584609031677,300000
F27,27,ARPSO-Global,13,22962442,3165.671779008171,2700.0,465.67177900817114,1560,11230,294.18733525276184,300000
F27,27,ARPSO-Global,14,22962443,3284.323720426421,2700.0,584.323720426421,1569,11541,295.54426431655884,300000
F27,27,ARPSO-Global,15,22962444,3137.888146579597,2700.0,437.8881465795971,1570,11021,294.324138879776,300000
F27,27,ARPSO-Global,16,22962445,3228.4700722142497,2700.0,528.4700722142497,1577,11644,294.79034876823425,300000
F27,27,ARPSO-Global,17,22962446,2724.4183106949527,2700.0,24.418310694952652,1747,11714,294.7873194217682,300000
F27,27,ARPSO-Global,18,22962447,3170.73748274564,2700.0,470.73748274564014,1657,12082,295.8996615409851,300000
F27,27,ARPSO-Global,19,22962448,2727.0507673363954,2700.0,27.050767336395438,1613,11179,296.49800992012024,300000
F27,27,ARPSO-Global,20,22962449,3158.1922821601574,2700.0,458.19228216015745,1550,11000,297.6624536514282,300000
F27,27,ARPSO-Global,21,22962450,3156.2882763415564,2700.0,456.2882763415564,1517,11056,294.00885462760925,300000
F27,27,ARPSO-Global,22,22962451,3239.8934348777766,2700.0,539.8934348777766,1577,11667,295.3693473339081,300000
F27,27,ARPSO-Global,23,22962452,3158.509888428578,2700.0,458.50988842857805,1484,10907,295.20894145965576,300000
F27,27,ARPSO-Global,24,22962453,3151.224035233133,2700.0,451.2240352331328,1530,11323,295.554496049881,300000
F27,27,ARPSO-Global,25,22962454,3203.191048464727,2700.0,503.1910484647269,1539,11354,294.29987812042236,300000
F27,27,ARPSO-Global,26,22962455,2864.0296671190295,2700.0,164.02966711902945,1606,11231,294.8741047382355,300000
F27,27,ARPSO-Global,27,22962456,3222.959171220123,2700.0,522.9591712201232,1650,11984,296.64719915390015,300000
F27,27,ARPSO-Global,28,22962457,3141.429122617007,2700.0,441.4291226170071,1553,11179,296.3346712589264,300000
F27,27,ARPSO-Global,29,22962458,2762.961327826691,2700.0,62.961327826691104,1543,10790,297.87417912483215,300000
F27,27,ARPSO-Global,30,22962459,3154.1806456345603,2700.0,454.1806456345603,1656,11900,299.85410380363464,300000
F27,27,ARPSO-Local,1,22963430,2723.472747722961,2700.0,23.472747722960776,3842,35011,301.00824427604675,300000
F27,27,ARPSO-Local,2,22963431,2723.4174960814516,2700.0,23.417496081451645,3354,33263,304.86973690986633,300000
F27,27,ARPSO-Local,3,22963432,2724.722755106149,2700.0,24.72275510614918,3805,35400,306.37661838531494,300000
F27,27,ARPSO-Local,4,22963433,2725.0111677103964,2700.0,25.01116771039642,3781,33741,307.6659803390503,300000
F27,27,ARPSO-Local,5,22963434,3178.475265751195,2700.0,478.4752657511949,3905,34416,307.074919462204,300000
F27,27,ARPSO-Local,6,22963435,2720.6219743047677,2700.0,20.62197430476772,3356,33373,311.5782778263092,300000
F27,27,ARPSO-Local,7,22963436,2727.2355579045056,2700.0,27.23555790450564,3763,33972,304.0194206237793,300000
F27,27,ARPSO-Local,8,22963437,3149.184172654843,2700.0,449.1841726548432,3954,33658,304.6154365539551,300000
F27,27,ARPSO-Local,9,22963438,2734.265874048266,2700.0,34.26587404826614,3563,32831,302.7370672225952,300000
F27,27,ARPSO-Local,10,22963439,3142.337561534465,2700.0,442.33756153446484,3650,31508,301.7000925540924,300000
F27,27,ARPSO-Local,11,22963440,3148.5234365985943,2700.0,448.52343659859434,3839,33788,299.95950651168823,300000
F27,27,ARPSO-Local,12,22963441,3149.341663725523,2700.0,449.3416637255232,3788,33050,305.2519085407257,300000
F27,27,ARPSO-Local,13,22963442,2726.2454177462405,2700.0,26.24541774624049,3634,31881,309.40828108787537,300000
F27,27,ARPSO-Local,14,22963443,3143.936029724574,2700.0,443.9360297245739,3880,32889,326.0045337677002,300000
F27,27,ARPSO-Local,15,22963444,2728.053524357251,2700.0,28.053524357250808,3754,35659,320.21485805511475,300000
F27,27,ARPSO-Local,16,22963445,2724.572690665421,2700.0,24.57269066542085,3647,33100,322.36412262916565,300000
F27,27,ARPSO-Local,17,22963446,2722.8128209328534,2700.0,22.812820932853356,3903,34550,312.07688164711,300000
F27,27,ARPSO-Local,18,22963447,2720.497225941821,2700.0,20.497225941820943,3510,33500,320.0239748954773,300000
F27,27,ARPSO-Local,19,22963448,2719.1190668069507,2700.0,19.11906680695074,4022,35700,314.1423397064209,300000
F27,27,ARPSO-Local,20,22963449,2724.7295274124735,2700.0,24.729527412473544,3675,33016,327.3337173461914,300000
F27,27,ARPSO-Local,21,22963450,2717.3528103729163,2700.0,17.352810372916338,3253,33150,304.28176856040955,300000
F27,27,ARPSO-Local,22,22963451,2746.7526722957637,2700.0,46.75267229576366,3710,32823,307.2739613056183,300000
