FunctionID,Function,Algorithm,FE,MeanBestError,StdBestError
1,F1,ARPSO-Global,205000,29817070.59784082,125564225.88845639
1,F1,ARPSO-Global,210000,29811029.554139446,125565635.62319955
1,F1,ARPSO-Global,215000,29809795.504836686,125565920.58104646
1,F1,ARPSO-Global,220000,8433161.280741626,44130153.71713949
1,F1,ARPSO-Global,225000,8098536.307925979,44148522.64854517
1,F1,ARPSO-Global,230000,8073587.023840008,44152936.47583064
1,F1,ARPSO-Global,235000,8069548.952217395,44153689.293409206
1,F1,ARPSO-Global,240000,8068920.144676852,44153806.99089117
1,F1,ARPSO-Global,245000,8068858.981770572,44153818.051564865
1,F1,ARPSO-Global,250000,8068844.605750118,44153820.52305016
1,F1,ARPSO-Global,255000,8068842.601996903,44153820.8440719
1,F1,ARPSO-Global,260000,8068842.130716091,44153820.91856765
1,F1,ARPSO-Global,265000,8068841.910339576,44153820.9516005
1,F1,ARPSO-Global,270000,8068841.831887222,44153820.96622189
1,F1,ARPSO-Global,275000,8068841.774712648,44153820.97586176
1,F1,ARPSO-Global,280000,8068841.740686744,44153820.98033651
1,F1,ARPSO-Global,285000,8068841.712823104,44153820.98467539
1,F1,ARPSO-Global,290000,8068841.674434514,44153820.991787806
1,F1,ARPSO-Global,295000,291863.8790895926,1557579.483612423
1,F1,ARPSO-Global,300000,11594.104966583063,20036.78836730536
1,F1,ARPSO-Local,5000,7304103226.856823,1991487186.1696317
1,F1,ARPSO-Local,10000,5942247715.037035,1187275850.785483
1,F1,ARPSO-Local,15000,5327930125.210417,1069907925.5687792
1,F1,ARPSO-Local,20000,4710068607.176534,1027740986.377778
1,F1,ARPSO-Local,25000,4316628111.473794,957646962.7022376
1,F1,ARPSO-Local,30000,3905727206.1733727,779759144.9300278
1,F1,ARPSO-Local,35000,3415057315.4416337,762673608.0623448
1,F1,ARPSO-Local,40000,3056302861.0759788,704363668.2039633
1,F1,ARPSO-Local,45000,2741056968.0646825,730875552.0479488
1,F1,ARPSO-Local,50000,2207082879.361371,674481939.9861635
1,F1,ARPSO-Local,55000,1880170266.8384752,578170194.4058506
1,F1,ARPSO-Local,60000,1599550056.3938324,569198787.7719318
1,F1,ARPSO-Local,65000,1317284718.962543,511171836.39867043
1,F1,ARPSO-Local,70000,1155005949.152808,393910107.9619629
1,F1,ARPSO-Local,75000,951908125.4520041,302602023.77724385
1,F1,ARPSO-Local,80000,802254586.7566687,272005511.661376
1,F1,ARPSO-Local,85000,631498141.618524,224468338.00989503
1,F1,ARPSO-Local,90000,464736213.00393945,189774356.88169459
1,F1,ARPSO-Local,95000,371988279.2970616,160442875.26791355
1,F1,ARPSO-Local,100000,300959552.6342462,157502882.53014046
1,F1,ARPSO-Local,105000,235901235.33764276,153255612.95108753
1,F1,ARPSO-Local,110000,185875864.29909092,157451572.71141228
1,F1,ARPSO-Local,115000,137885257.56102842,146429441.14805096
1,F1,ARPSO-Local,120000,101648532.78904359,140788802.98431772
1,F1,ARPSO-Local,125000,77085268.02435112,138407083.15437382
1,F1,ARPSO-Local,130000,60201026.15972854,133752971.09682983
1,F1,ARPSO-Local,135000,46616366.19653161,128284784.09382692
1,F1,ARPSO-Local,140000,15110075.899625236,23427461.959338907
1,F1,ARPSO-Local,145000,7423754.852177013,10345157.156438567
1,F1,ARPSO-Local,150000,3681663.3223857926,4404083.869931212
1,F1,ARPSO-Local,155000,1644270.633141612,1611731.872191342
1,F1,ARPSO-Local,160000,694278.9903955068,575089.352138046
1,F1,ARPSO-Local,165000,356563.985145527,271141.74591754697
1,F1,ARPSO-Local,170000,158141.52597789178,123152.24082316922
1,F1,ARPSO-Local,175000,65265.82267908151,47520.14915271008
1,F1,ARPSO-Local,180000,31203.10976695751,24564.464008720606
1,F1,ARPSO-Local,185000,17162.953736561038,12473.254791926878
1,F1,ARPSO-Local,190000,11106.719181573802,8130.922831966302
1,F1,ARPSO-Local,195000,9013.604710778349,7508.284525310228
1,F1,ARPSO-Local,200000,8255.193149125214,7371.149384772851
1,F1,ARPSO-Local,205000,8053.691233707427,7393.1866289627405
1,F1,ARPSO-Local,210000,7983.86083780099,7407.265892543463
1,F1,ARPSO-Local,215000,7966.269113087933,7411.079643648404
1,F1,ARPSO-Local,220000,7962.7768009227,7411.971917691779
1,F1,ARPSO-Local,225000,7961.901524542538,7412.0882197251
1,F1,ARPSO-Local,230000,7961.566389420705,7412.055438443738
1,F1,ARPSO-Local,235000,7961.1263088764845,7411.975210777829
1,F1,ARPSO-Local,240000,7960.81746632696,7411.94352959612
1,F1,ARPSO-Local,245000,7960.49853875786,7411.7865856188455
1,F1,ARPSO-Local,250000,7960.095665445276,7411.656429381591
1,F1,ARPSO-Local,255000,7959.647820215369,7411.406437025535
1,F1,ARPSO-Local,260000,7959.137523635277,7411.167329587599
1,F1,ARPSO-Local,265000,7958.693499933231,7411.111064954919
1,F1,ARPSO-Local,270000,7958.3044958694,7411.000791102357
1,F1,ARPSO-Local,275000,7957.816458598954,7410.9220159282195
1,F1,ARPSO-Local,280000,7957.209362724455,7410.639421131418
1,F1,ARPSO-Local,285000,7956.558342578463,7410.518407253063
1,F1,ARPSO-Local,290000,7955.942395929596,7410.284419776993
1,F1,ARPSO-Local,295000,7955.132205408489,7409.893719332913
1,F1,ARPSO-Local,300000,8372.037893922958,7498.833999372599
1,F1,ARPSO-SRR,5000,7558927325.795574,2005930735.048098
1,F1,ARPSO-SRR,10000,6137316975.5060215,1296460505.5654929
1,F1,ARPSO-SRR,15000,5567796960.016626,1110347508.7041683
1,F1,ARPSO-SRR,20000,4923635382.273363,682926304.315262
1,F1,ARPSO-SRR,25000,4488350433.580317,680925374.6026416
1,F1,ARPSO-SRR,30000,4131684148.5652113,714903084.8049805
1,F1,ARPSO-SRR,35000,3753502312.145962,740503892.1081105
1,F1,ARPSO-SRR,40000,3305162054.0044837,824295700.1854753
1,F1,ARPSO-SRR,45000,2991125542.007477,801028290.7327895
1,F1,ARPSO-SRR,50000,2680845039.840896,740586336.1905586
1,F1,ARPSO-SRR,55000,2370294797.470263,774477799.0847932
1,F1,ARPSO-SRR,60000,2060095783.0208964,733239371.4524782
1,F1,ARPSO-SRR,65000,1740847121.1565185,667202538.066204
1,F1,ARPSO-SRR,70000,1592830177.1582198,690303907.9036431
1,F1,ARPSO-SRR,75000,1385378985.7520416,643840085.3968085
1,F1,ARPSO-SRR,80000,1120282288.6940825,552333440.7620795
1,F1,ARPSO-SRR,85000,882832417.957856,501248237.8629448
1,F1,ARPSO-SRR,90000,753474472.8902968,472797435.4127657
1,F1,ARPSO-SRR,95000,535706736.4711125,329657834.8270705
1,F1,ARPSO-SRR,100000,418209230.6031215,287429693.6922582
1,F1,ARPSO-SRR,105000,275539403.2052543,116687665.76017562
1,F1,ARPSO-SRR,110000,201443335.4099642,94431649.27084115
1,F1,ARPSO-SRR,115000,147471355.9378238,74073509.51609285
1,F1,ARPSO-SRR,120000,110226580.95092665,70372402.80020246
1,F1,ARPSO-SRR,125000,80004065.78499074,70003474.62407474
1,F1,ARPSO-SRR,130000,59637303.56833283,70029799.23071402
1,F1,ARPSO-SRR,135000,45540194.748374514,70578274.6376602
1,F1,ARPSO-SRR,140000,34894143.8883646,63750956.98475432
1,F1,ARPSO-SRR,145000,21204091.453232337,46121053.47746455
1,F1,ARPSO-SRR,150000,15879914.321846085,44219214.247216485
1,F1,ARPSO-SRR,155000,11727060.029745946,43947288.606572434
1,F1,ARPSO-SRR,160000,10015097.608891515,43968707.598615155
1,F1,ARPSO-SRR,165000,9240354.147843296,44037914.60483415
1,F1,ARPSO-SRR,170000,8724971.823191246,44077634.10974764
1,F1,ARPSO-SRR,175000,8427379.140231626,44112060.33414236
1,F1,ARPSO-SRR,180000,8247618.150906865,44130343.84450059
1,F1,ARPSO-SRR,185000,8157854.330439425,44144979.84642655
1,F1,ARPSO-SRR,190000,8113116.8156995345,44149154.740048714
1,F1,ARPSO-SRR,195000,8089088.261337114,44152278.98822317
1,F1,ARPSO-SRR,200000,8077230.552593809,44152917.28725135
1,F1,ARPSO-SRR,205000,8073634.351020653,44153092.558949456
1,F1,ARPSO-SRR,210000,8071878.52810937,44153277.759968266
1,F1,ARPSO-SRR,215000,8071113.971497492,44153405.65534444
1,F1,ARPSO-SRR,220000,8070664.484119447,44153481.82251364
1,F1,ARPSO-SRR,225000,8070530.577930797,44153505.20811901
1,F1,ARPSO-SRR,230000,1353997.7796146034,7365895.611966345
1,F1,ARPSO-SRR,235000,174980.68909693955,908350.6641846916
1,F1,ARPSO-SRR,240000,28360.62996886966,105586.37781531611
1,F1,ARPSO-SRR,245000,12700.280307947054,21038.671317924236
1,F1,ARPSO-SRR,250000,9764.47904109574,8486.911941741202
1,F1,ARPSO-SRR,255000,9085.511321649017,7733.992299286884
