source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,18,7,887105829.4339703,929309262.4322648
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,19,8,849379416.8850628,883346865.3015716
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,20,10,795187092.1099188,846778411.5866523
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,21,12,738496392.2469648,781051840.831211
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,22,14,707557901.5861795,738496392.2469648
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,23,17,669420912.352489,707557901.5861795
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,24,22,645431294.4588083,669420912.352489
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,25,25,607787091.416917,645431294.4588083
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,26,31,574699735.1919446,606957679.8595401
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,27,38,523100397.4270291,574699735.1919446
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,28,46,473217085.2380149,517671777.3127712
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,29,55,439320095.75943017,473217085.2380149
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,30,67,412726228.1815517,439320095.75943017
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,31,81,366530069.55354536,412726228.1815517
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,32,98,331926195.52356225,366530069.55354536
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,33,119,272857139.37717223,330733933.0104441
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,34,144,217677828.76884416,272381673.7328209
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,35,174,158686494.0629545,217677828.7688441
