source_file,Algorithm,FunctionID,Function,CurveBin,__rows,FE__mean,MeanBestError__mean,MeanBestError__min,MeanBestError__max,StdBestError__mean,StdBestError__min,StdBestError__max
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,59,3,90000.0,42707.61808300486,34701.00156741126,52264.75388218539,19337.768377027318,16463.340179032668,23720.433129097488
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,60,5,110000.0,21621.324788503265,13147.040660272853,30127.999496979013,14852.510453268082,11357.4059548276,16192.351123932192
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,61,5,135000.0,7734.838198558835,4090.854870438743,10834.97690786532,9256.138081979645,6663.01831343395,11088.1057125753
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,62,6,162500.0,2815.123901320146,1655.40740275768,3605.446046244256,5896.260609060458,3842.522726010922,6792.285002100022
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,63,8,197500.0,1478.9604398894198,1408.7330515249928,1614.1905190311224,3777.3131503452346,3760.94454850294,3812.814418387373
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,64,9,240000.0,724.4953232847477,365.5727392167741,1404.888658315215,1642.5798240884133,133.28723615634547,3759.4855793846896
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,65,8,282500.0,331.85948772363696,310.50287988008057,354.5644709930177,131.35161894150667,117.88992420464822,135.69907808340994
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,44,1,5000.0,511.5294977600185,511.5294977600185,511.5294977600185,44.75518980488388,44.75518980488388,44.75518980488388
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,48,1,10000.0,479.1348089337151,479.1348089337151,479.1348089337151,48.6576474791276,48.6576474791276,48.6576474791276
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,50,1,15000.0,458.3130814387454,458.3130814387454,458.3130814387454,39.270448860380505,39.270448860380505,39.270448860380505
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,51,1,20000.0,441.88988740581664,441.88988740581664,441.88988740581664,40.660602878184335,40.660602878184335,40.660602878184335
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,52,1,25000.0,432.68565390667646,432.68565390667646,432.68565390667646,34.548102134885944,34.548102134885944,34.548102134885944
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,53,1,30000.0,429.5691552277783,429.5691552277783,429.5691552277783,37.53131700537384,37.53131700537384,37.53131700537384
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,54,1,35000.0,420.70364180504725,420.70364180504725,420.70364180504725,39.878276005589456,39.878276005589456,39.878276005589456
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,55,2,42500.0,408.5590688550308,402.2132963246079,414.90484138545366,41.31484796301159,38.89105176167337,43.738644164349815
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,56,2,52500.0,382.47617584353065,374.04643522042886,390.9059164666325,56.37385892026424,49.85359665441944,62.89412118610903
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,57,2,62500.0,335.814061611518,322.1845187057505,349.44360451728545,55.86001053520851,52.13871513240954,59.58130593800748
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,58,3,75000.0,313.66574939085194,309.54327950509764,316.79821361833586,49.017596837318905,48.406190062227,49.70166201523799
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,59,3,90000.0,303.96966906703807,300.17894975333286,307.93172800533165,48.24993603519195,46.084297084525005,50.25427246053346
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,60,5,110000.0,273.6433560819316,249.2055774766431,293.020784501874,51.24721123623836,46.050027268308696,57.42813972574903
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,61,5,135000.0,210.40490770320093,192.4968708691936,230.548045359194,54.861386511392595,47.61879116662563,60.30375988404611
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,62,6,162500.0,182.92495681335393,178.23399885786765,188.587135288276,43.89512206784096,42.688828295965735,45.60437594152282
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,63,8,197500.0,168.76504738151672,166.13715617576665,174.9645777949013,38.849327297881985,37.81815423480014,40.64760875981282
