source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,DE,CEC2017-F20,1,-456.53592554127135,1,-456.53592554127135,-456.53592554127135,0.0,1,0.0,0.0,-456.53592554127135,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F21,1,100.00000000000044,1,100.00000000000044,100.00000000000044,0.0,1,0.0,0.0,100.00000000000044,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F22,1,-4269.33334837916,1,-4269.33334837916,-4269.33334837916,0.0,1,0.0,0.0,-4269.33334837916,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F23,1,200.0,1,200.0,200.0,0.0,1,0.0,0.0,200.0,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F24,1,200.0,1,200.0,200.0,0.0,1,0.0,0.0,200.0,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F25,1,420.4225576200388,1,420.4225576200388,420.4225576200388,0.0,1,0.0,0.0,420.4225576200388,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F26,1,825.3733197508645,1,825.3733197508645,825.3733197508645,0.0,1,0.0,0.0,825.3733197508645,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F27,1,461.9535674962008,1,461.9535674962008,461.9535674962008,0.0,1,0.0,0.0,461.9535674962008,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F28,1,4.547473508864641e-13,1,4.547473508864641e-13,4.547473508864641e-13,0.0,1,0.0,0.0,4.547473508864641e-13,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F29,1,1494.09470206669,1,1494.09470206669,1494.09470206669,0.0,1,0.0,0.0,1494.09470206669,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F3,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F30,1,2050.1232656853226,1,2050.1232656853226,2050.1232656853226,0.0,1,0.0,0.0,2050.1232656853226,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F4,1,29.4597730085012,1,29.4597730085012,29.4597730085012,0.0,1,0.0,0.0,29.4597730085012,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F5,1,16.914298932766997,1,16.914298932766997,16.914298932766997,0.0,1,0.0,0.0,16.914298932766997,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F6,1,4.547473508864641e-13,1,4.547473508864641e-13,4.547473508864641e-13,0.0,1,0.0,0.0,4.547473508864641e-13,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F7,1,44.99414950266521,1,44.99414950266521,44.99414950266521,0.0,1,0.0,0.0,44.99414950266521,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F8,1,50.00001116454894,1,50.00001116454894,50.00001116454894,0.0,1,0.0,0.0,50.00001116454894,0.0
results\cec\cec2017_summary_results.csv,DE,CEC2017-F9,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F1,1,13576369.985993316,1,13576369.985993316,13576369.985993316,0.0,1,0.0,0.0,13576369.985993316,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F10,1,-5443.9746768129735,1,-5443.9746768129735,-5443.9746768129735,0.0,1,0.0,0.0,-5443.9746768129735,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F11,1,2962.1688939882515,1,2962.1688939882515,2962.1688939882515,0.0,1,0.0,0.0,2962.1688939882515,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F12,1,384727.4861125639,1,384727.4861125639,384727.4861125639,0.0,1,0.0,0.0,384727.4861125639,0.0
