source_file,Algorithm,Function,__rows,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,StdRestart__sum,StdRestart__count,StdRestart__min,StdRestart__max,MaxRestart__sum,MaxRestart__count,MaxRestart__min,MaxRestart__max,MinRestart__sum,MinRestart__count,MinRestart__min,MinRestart__max,AvgRestart__mean,StdRestart__mean,MaxRestart__mean,MinRestart__mean
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F10,1,30.73333333333333,1,30.73333333333333,30.73333333333333,14.887933863120285,1,14.887933863120285,14.887933863120285,55,1,55,55,1,1,1,1,30.73333333333333,14.887933863120285,55.0,1.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F11,1,70.06666666666666,1,70.06666666666666,70.06666666666666,7.79890944336111,1,7.79890944336111,7.79890944336111,74,1,74,74,38,1,38,38,70.06666666666666,7.79890944336111,74.0,38.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F12,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F13,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F14,1,50.3,1,50.3,50.3,11.256109452204168,1,11.256109452204168,11.256109452204168,71,1,71,71,25,1,25,25,50.3,11.256109452204168,71.0,25.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F15,1,73.06666666666666,1,73.06666666666666,73.06666666666666,3.638238805960296,1,3.638238805960296,3.638238805960296,74,1,74,74,57,1,57,57,73.06666666666666,3.638238805960296,74.0,57.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F16,1,71.36666666666666,1,71.36666666666666,71.36666666666666,5.79228579341901,1,5.79228579341901,5.79228579341901,74,1,74,74,52,1,52,52,71.36666666666666,5.79228579341901,74.0,52.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F17,1,62.0,1,62.0,62.0,17.4928556845359,1,17.4928556845359,17.4928556845359,74,1,74,74,7,1,7,7,62.0,17.4928556845359,74.0,7.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F18,1,29.53333333333333,1,29.53333333333333,29.53333333333333,15.44675690397744,1,15.44675690397744,15.44675690397744,59,1,59,59,3,1,3,3,29.53333333333333,15.44675690397744,59.0,3.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F19,1,73.63333333333334,1,73.63333333333334,73.63333333333334,0.7648904962570566,1,0.7648904962570566,0.7648904962570566,74,1,74,74,72,1,72,72,73.63333333333334,0.7648904962570566,74.0,72.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F20,1,73.4,1,73.4,73.4,1.5447352189134924,1,1.5447352189134924,1.5447352189134924,74,1,74,74,67,1,67,67,73.4,1.5447352189134924,74.0,67.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F21,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F22,1,56.8,1,56.8,56.8,11.45124597948881,1,11.45124597948881,11.45124597948881,74,1,74,74,38,1,38,38,56.8,11.45124597948881,74.0,38.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F23,1,73.66666666666667,1,73.66666666666667,73.66666666666667,0.4794633014853841,1,0.4794633014853841,0.4794633014853841,74,1,74,74,73,1,73,73,73.66666666666667,0.4794633014853841,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F24,1,73.6,1,73.6,73.6,0.6214554662658635,1,0.6214554662658635,0.6214554662658635,74,1,74,74,72,1,72,72,73.6,0.6214554662658635,74.0,72.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F25,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
