source_file,Algorithm,FunctionID,Function,__rows,BestFitness__sum,BestFitness__count,BestFitness__min,BestFitness__max,BestError__sum,BestError__count,BestError__min,BestError__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RestartedParticlesTotal__sum,RestartedParticlesTotal__count,RestartedParticlesTotal__min,RestartedParticlesTotal__max,Runtime__sum,Runtime__count,Runtime__min,Runtime__max,FEs__sum,FEs__count,FEs__min,FEs__max,BestFitness__mean,BestError__mean,RestartCount__mean,RestartedParticlesTotal__mean,Runtime__mean,FEs__mean
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,19,F19,30,57777.202765597125,30,1527.3433014548505,2704.172694465201,3726.7581186748316,30,0.0,804.172694465201,40085,30,1096,1695,400850,30,10960,16950,9292.91710305214,30,302.26837706565857,326.9729549884796,9000000,30,300000,300000,1925.9067588532375,124.22527062249439,1336.1666666666667,13361.666666666666,309.7639034350713,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,20,F20,30,69462.00514786456,30,2100.0011278940888,3097.0928881283407,9462.005147864558,30,100.00112789408875,1097.0928881283407,52492,30,1695,1803,524920,30,16950,18030,1505.5204882621765,30,48.05384349822998,56.96475148200989,9000000,30,300000,300000,2315.4001715954855,315.4001715954853,1749.7333333333333,17497.333333333332,50.18401627540588,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,21,F21,30,-73540.87804534515,30,-7508.313110370747,2199.479339752216,99.47933975221576,30,0.0,99.47933975221576,48999,30,1554,1747,489990,30,15540,17470,2211.2816064357758,30,68.85455346107483,86.22025060653687,9000000,30,300000,300000,-2451.362601511505,3.3159779917405254,1633.3,16333.0,73.70938688119253,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,22,F22,30,73232.23593450131,30,2300.000194732602,2746.063754878661,7232.235934501312,30,100.0001947326018,546.0637548786608,51785,30,1656,1766,517850,30,16560,17660,2529.918196439743,30,80.78896999359131,98.57444262504578,9000000,30,300000,300000,2441.0745311500436,241.07453115004373,1726.1666666666667,17261.666666666668,84.33060654799144,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,23,F23,30,75678.96758244572,30,2500.0000051301595,2735.9290946369656,6678.96758244573,30,200.00000513015948,435.9290946369656,52847,30,1703,1786,528470,30,17030,17860,1910.19118475914,30,58.82736945152283,73.3527181148529,9000000,30,300000,300000,2522.6322527481907,222.632252748191,1761.5666666666666,17615.666666666668,63.67303949197133,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,24,F24,30,84978.91990635892,30,2821.0602735266443,2932.368150255249,12978.919906358922,30,421.0602735266443,532.368150255249,50168,30,1640,1735,501680,30,16400,17350,2271.424571752548,30,71.30386447906494,86.38034677505493,9000000,30,300000,300000,2832.6306635452975,432.6306635452974,1672.2666666666667,16722.666666666668,75.71415239175161,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,25,F25,30,100261.6826414256,30,3325.969723161994,3375.0706617579112,25261.682641425603,30,825.9697231619939,875.0706617579112,64237,30,1950,2220,642370,30,19500,22200,9118.49261188507,30,299.7512013912201,307.8209505081177,9000000,30,300000,300000,3342.05608804752,842.0560880475201,2141.233333333333,21412.333333333332,303.94975372950233,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,26,F26,30,93627.88235717811,30,3054.9032587203646,3181.128518189886,15627.882357178112,30,454.9032587203647,581.1285181898861,62182,30,1910,2214,621820,30,19100,22140,9550.257011890411,30,311.15404534339905,340.45455265045166,9000000,30,300000,300000,3120.929411905937,520.9294119059371,2072.733333333333,20727.333333333332,318.34190039634706,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,27,F27,30,87533.12700060291,30,2713.186580676126,3194.1470586941773,6533.127000602908,30,13.18658067612614,494.1470586941773,50850,30,1593,1905,508500,30,15930,19050,8977.631722450256,30,292.71734404563904,319.1026644706726,9000000,30,300000,300000,2917.770900020097,217.77090002009695,1695.0,16950.0,299.2543907483419,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,28,F28,30,896697.1295088661,30,5769.351675829919,272222.9927079989,812697.1295088661,30,2969.3516758299197,269422.9927079989,43306,30,1296,1775,433060,30,12960,17750,13155.470699071884,30,433.5572941303253,453.745423078537,9000000,30,300000,300000,29889.904316962205,27089.904316962205,1443.5333333333333,14435.333333333334,438.5156899690628,300000.0
