source_file,Algorithm,Function,__rows,BestValue__sum,BestValue__count,BestValue__min,BestValue__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RuntimeSeconds__sum,RuntimeSeconds__count,RuntimeSeconds__min,RuntimeSeconds__max,BestValue__mean,RestartCount__mean,RuntimeSeconds__mean
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F12,30,7763786.321769221,30,84891.36693056293,432853.6351136681,0,30,0,0,1148.547886999957,30,36.699112099995546,40.69645879999735,258792.87739230736,0.0,38.284929566665234
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F13,30,332287.1399010267,30,2675.393994976805,28132.593177822364,0,30,0,0,654.3194300000032,30,21.08219790000294,22.89938319999783,11076.23799670089,0.0,21.810647666666775
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F14,30,3054192.920688637,30,6211.281215037693,404167.35082254,0,30,0,0,825.1892985000013,30,26.596672699997725,28.38678159999836,101806.43068962124,0.0,27.506309950000045
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F15,30,542834.5894923977,30,9129.092103798976,38445.86311623306,0,30,0,0,784.6365404000171,30,24.815569700003834,27.495479800003523,18094.48631641326,0.0,26.154551346667237
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F16,30,-1883.7297884652025,30,-800.0319082889639,1675.6776534477794,0,30,0,0,1919.7530493000304,30,63.6253749000025,64.47190270000283,-62.790992948840085,0.0,63.991768310001014
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F17,30,19331.517219419173,30,158.6408624777573,1086.87832593271,0,30,0,0,5048.642787200006,30,165.7381047000017,171.92526580000413,644.3839073139724,0.0,168.28809290666686
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F18,30,1115182.1925004579,30,19201.6884918694,67571.96163371253,0,30,0,0,680.2039316000228,30,21.57806410000194,23.419235900000785,37172.739750015266,0.0,22.673464386667426
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F19,30,29568.90625979935,30,139.47723678388093,3126.080612617109,0,30,0,0,2858.587557499981,30,93.77424129999416,96.77206339999977,985.6302086599784,0.0,95.28625191666603
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F20,30,-13032.443939180957,30,-572.6819855242597,-263.82367879645017,0,30,0,0,5972.693435100009,30,177.58665890000702,272.8595888999989,-434.4147979726986,0.0,199.0897811700003
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F21,30,9165.885019607884,30,272.75304437163004,344.05103078274806,0,30,0,0,929.0761004000233,30,29.91162529999565,32.19701269999496,305.52950065359613,0.0,30.96920334666744
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F22,30,-423602.9437767071,30,-14306.66465206715,-13814.25258672514,0,30,0,0,1313.466302699977,30,42.11924099999305,45.02944510000816,-14120.098125890237,0.0,43.78221008999923
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F23,30,9506.87791251546,30,200.1334610569265,518.8799639045019,0,30,0,0,1593.8642354000185,30,51.13432300000568,55.11649640000542,316.895930417182,0.0,53.128807846667286
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F24,30,6006.5804867921415,30,200.00391487536623,203.89346683508572,0,30,0,0,1501.378925499972,30,46.19034109999484,57.19287309999345,200.21934955973805,0.0,50.0459641833324
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F25,30,12643.99721243077,30,421.1373943161507,422.1541972164305,0,30,0,0,1818.7282388000021,30,55.48944440000923,64.50728189999063,421.46657374769234,0.0,60.62427462666674
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F26,30,25971.719267355915,30,842.0991493578717,880.9525013138414,0,30,0,0,7251.194146199952,30,231.85772239998917,250.68026449999888,865.7239755785305,0.0,241.7064715399984
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F27,30,14726.82135824033,30,466.1348657603553,502.741774041996,0,30,0,0,6775.17876109996,30,222.34309680000297,229.54187440000533,490.89404527467764,0.0,225.83929203666534
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F28,30,13402.453133616926,30,348.0893551241884,483.4080097472847,0,30,0,0,6484.691116300062,30,213.4003895000205,219.30379400000675,446.74843778723084,0.0,216.1563705433354
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F29,30,2186060.9272143003,30,15084.38028985641,124496.80225540392,0,30,0,0,9857.265138100047,30,314.5821913999971,337.59548440002254,72868.69757381002,0.0,328.5755046033349
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F3,30,3.4506656554756305,30,0.0263681117289706,0.288362101423445,0,30,0,0,227.8378896999784,30,7.136178200002178,9.135756099996795,0.11502218851585436,0.0,7.594596323332613
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F30,30,1397422.3061087814,30,12626.840949363248,257452.8954034658,0,30,0,0,4263.9755527000525,30,140.11899740001536,145.05299149997882,46580.74353695938,0.0,142.13251842333509
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F4,30,1007.3664795014179,30,31.829047452510054,64.79639621930949,0,30,0,0,333.7612806999932,30,10.766723099997762,11.510453399998369,33.57888265004726,0.0,11.125376023333107
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F5,30,2023.5255103116551,30,55.46488147848811,82.43232224613985,0,30,0,0,296.60257010000714,30,9.333971399999427,10.880047200000265,67.45085034372184,0.0,9.886752336666905
