source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,56,60,56737.07807245421,56137.07807245421,169405.37975106845,168805.37975106845
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,57,60,55384.178487378405,54784.178487378405,152870.30429324732,152270.30429324732
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,58,90,19843.824809636026,19243.824809636026,135978.97309539816,135378.97309539816
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,59,90,9458.383666012993,8858.383666012991,105146.67787488348,104546.67787488348
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,60,150,2532.96801971595,1932.96801971595,68253.74826072731,67653.74826072731
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,61,150,1273.1749930991953,673.1749930991953,34833.99873142554,34233.99873142554
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,62,180,905.219823041274,305.219823041274,30886.137309646478,30286.137309646478
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,63,240,824.5169144680393,224.5169144680393,17013.647104045976,16413.647104045976
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,64,270,710.0040343748489,110.00403437484886,16782.989796431153,16182.989796431151
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,6,F6,65,238,701.4313950242652,101.43139502426516,1322.6953237446878,722.6953237446878
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,44,30,1138.196327047802,438.196327047802,1316.1878359131156,616.1878359131156
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,48,30,1091.0588867731935,391.0588867731936,1307.1977903359798,607.1977903359798
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,50,30,1091.0588867731935,391.0588867731936,1232.350586054574,532.350586054574
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,51,30,1057.1501595456266,357.1501595456266,1221.7272774445505,521.7272774445503
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,52,30,1057.1501595456266,357.1501595456266,1212.4536131764949,512.4536131764949
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,53,30,1019.78524943325,319.7852494332501,1212.4536131764949,512.4536131764949
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,54,30,1019.78524943325,319.7852494332501,1212.4536131764949,512.4536131764949
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,55,60,1002.95682832569,302.95682832569014,1212.4536131764949,512.4536131764949
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,56,60,937.1059399331058,237.1059399331058,1153.708611343215,453.7086113432146
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,57,60,900.3769832218634,200.37698322186336,1141.0926873401486,441.0926873401486
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,58,90,900.0498881153628,200.0498881153628,1126.9578349238025,426.95783492380247
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,59,90,900.0498881153617,200.04988811536168,1126.7507228071354,426.7507228071354
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,60,150,834.7155044313788,134.7155044313788,1098.731236896137,398.731236896137
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,61,150,803.7918286569677,103.79182865696772,1043.8501329486016,343.85013294860164
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,62,180,794.0061167978039,94.00611679780388,982.0160468495556,282.01604684955555
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,63,240,792.0000236254359,92.00002362543592,974.0000013517904,274.0000013517903
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,64,270,792.0,92.0,974.0,274.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,7,F7,65,235,792.0,92.0,974.0,274.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,44,30,805.6284236862952,5.62842368629515,826.8980781773631,26.89807817736312
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,48,30,803.1748376482852,3.1748376482852336,823.0084329695701,23.00843296957009
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,50,30,803.1748376482852,3.1748376482852336,823.0084329695701,23.00843296957009
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,51,30,803.1748376482852,3.1748376482852336,823.0084329695701,23.00843296957009
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,52,30,803.1546677290784,3.154667729078369,823.0084329695701,23.00843296957009
