source_file,Algorithm,FunctionID,Function,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,Rank__sum,Rank__count,Rank__min,Rank__max,MeanError__mean,Rank__mean
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,15,F15,1,3364.600634650197,1,3364.600634650197,3364.600634650197,2.0,1,2.0,2.0,3364.600634650197,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,16,F16,1,1068.9581128678333,1,1068.9581128678333,1068.9581128678333,1.0,1,1.0,1.0,1068.9581128678333,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,17,F17,1,54001.24051683864,1,54001.24051683864,54001.24051683864,4.0,1,4.0,4.0,54001.24051683864,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,18,F18,1,82581.58791297112,1,82581.58791297112,82581.58791297112,2.0,1,2.0,2.0,82581.58791297112,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,19,F19,1,71.58615410462389,1,71.58615410462389,71.58615410462389,2.0,1,2.0,2.0,71.58615410462389,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,20,F20,1,350.6958226788277,1,350.6958226788277,350.6958226788277,4.0,1,4.0,4.0,350.6958226788277,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,21,F21,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,22,F22,1,259.4894955630991,1,259.4894955630991,259.4894955630991,2.0,1,2.0,2.0,259.4894955630991,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,23,F23,1,210.2902666356271,1,210.2902666356271,210.2902666356271,1.0,1,1.0,1.0,210.2902666356271,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,24,F24,1,432.1121168157139,1,432.1121168157139,432.1121168157139,2.0,1,2.0,2.0,432.1121168157139,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,25,F25,1,840.3514545495594,1,840.3514545495594,840.3514545495594,2.0,1,2.0,2.0,840.3514545495594,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,26,F26,1,535.8285639890536,1,535.8285639890536,535.8285639890536,5.0,1,5.0,5.0,535.8285639890536,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,27,F27,1,211.31611898468452,1,211.31611898468452,211.31611898468452,3.0,1,3.0,3.0,211.31611898468452,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,28,F28,1,24889.5598205128,1,24889.5598205128,24889.5598205128,3.0,1,3.0,3.0,24889.5598205128,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-SRR,29,F29,1,559279.1466233494,1,559279.1466233494,559279.1466233494,2.0,1,2.0,2.0,559279.1466233494,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,PSO-RS,1,F1,1,8069684.897158903,1,8069684.897158903,8069684.897158903,6.0,1,6.0,6.0,8069684.897158903,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,PSO-RS,3,F3,1,59.73163613755878,1,59.73163613755878,59.73163613755878,5.0,1,5.0,5.0,59.73163613755878,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,PSO-RS,4,F4,1,182.8569007916164,1,182.8569007916164,182.8569007916164,5.0,1,5.0,5.0,182.8569007916164,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,PSO-RS,5,F5,1,3.6152997845798986e-05,1,3.6152997845798986e-05,3.6152997845798986e-05,1.0,1,1.0,1.0,3.6152997845798986e-05,1.0
