source_file,Algorithm,FunctionID,Function,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,15,F15,42652,8814622830,42652,30598923,42652,426520,42652,8530.4,42652,1899.7473731888358,42652,73701,42652,6785998443.378104,42652,6722024899.047137,42652,3310,1,10,0.2,0.0300375124658123,0,1423.3268497109236,0.0,300000,1607,10,0.2,0.1036534628659692,50,27781821.83779339,27780321.83779339,206663.76324674106,717.4088671105693,10.0,0.19999999999999998,0.044540639904080366,1.7279611741536154,159101.52966749753,157601.63413315054
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,16,F16,42036,8721094780,42036,29706813,42036,420360,42036,8407.2,42036,1900.3383508628249,42036,100769,42036,1361089593.061236,42036,1293831993.061236,42036,2960,1,10,0.2,0.0297617524596263,0,1644.8998877175438,44.89988771754384,300000,1757,10,0.2,0.0999075945214275,50,81178350.79130095,81176750.79130095,207467.28470834522,706.6993291464458,10.0,0.2,0.04520740200929738,2.3972071557712438,32379.141523009705,30779.141523009705
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,17,F17,35928,7667839500,35928,21560240,35928,359280,35928,7185.6,35928,1670.3472361861645,35928,104245,35928,2774537354.977993,35928,2713459754.977993,35928,2760,1,10,0.2,0.0329423037380426,0,16604.80722595789,14904.807225957891,300000,1298,10,0.2,0.1148434038799466,50,6254044.63377948,6252344.63377948,213422.38643954575,600.0957470496548,10.0,0.2,0.04649151737325107,2.901497439323091,77224.93194661525,75524.93194661525
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,18,F18,44066,8880796510,44066,32416971,44066,440660,44066,8813.2,44066,1986.2198451866282,44066,94098,44066,393565314712.18646,44066,393485995912.18646,44066,4610,1,10,0.2,0.0294843908646895,0,2094.0000346981,294.0000346981001,300000,1573,10,0.2,0.1063782202782521,50,14126029799.837317,14126027999.837317,201533.98334316706,735.6458721009395,10.0,0.2,0.045073749493637454,2.1353878273498843,8931269.339449609,8929469.339449609
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,19,F19,40085,8507647020,40085,27241627,40085,400850,40085,8017.0,40085,1852.1438326637842,40085,103114,40085,79751346.57058498,40085,6601798.9302812535,40085,3060,1,10,0.2,0.0305336015535513,0,1527.3433027924802,0.0,299990,1695,10,0.2,0.1052541479778493,50,6432.426277825044,4532.426277825044,212240.16514905824,679.5965323687165,10.0,0.2,0.04620540932178581,2.572383684670076,1989.555858066234,164.69499638970322
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,52492,10767346960,52492,45958236,52492,524920,52492,10498.400000000001,52492,2302.1115011510196,52492,83257,52492,132712626.12778659,52492,27728626.1277866,52492,3960,1,10,0.2,0.031426750878382,0,2100.001131774521,100.00113177452111,300000,1803,10,0.2,0.0938315455483135,50,13562.637021407612,11562.637021407612,205123.5799740913,875.5283852777566,10.0,0.20000000000000004,0.04385642576299283,1.5860893088470625,2528.2448016418994,528.2448016418997
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,21,F21,48999,9894869100,48999,40062645,48999,489990,48999,9799.800000000001,48999,2168.2124239944806,48999,97066,48999,-27883672.46067208,48999,1838406.1444225074,48999,3810,1,10,0.2,0.0296847255400944,0,-7508.313110370747,0.0,300000,1747,10,0.2,0.0985484399315551,50,3173.330158639348,1073.3301586393482,201940.22531072062,817.6216861568604,10.0,0.2,0.04425013620674872,1.9809792036572176,-569.0661536086875,37.51925844246836
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,22,F22,51785,10700028800,51785,44731295,51785,517850,51785,10357.0,51785,2248.112336236552,51785,73113,51785,150270914.64572108,51785,36343914.6457211,51785,4410,1,10,0.2,0.0319188511405981,0,2300.000194732602,100.0001947326018,300000,1766,10,0.2,0.085496530802291,50,19275.128864599752,17075.128864599752,206624.09578063147,863.7886453606257,10.0,0.2,0.043412423215922605,1.411856715265038,2901.823204513297,701.8232045132972
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,23,F23,52847,10963353950,52847,46579385,52847,528470,52847,10569.400000000001,52847,2295.072256301891,52847,72402,52847,145788027.76880535,52847,24239927.768805347,52847,3810,1,10,0.2,0.0316462731990459,0,2500.0000051411384,200.00000514113844,300000,1786,10,0.2,0.0908675790983197,50,13310.85033908928,11010.85033908928,207454.6133176907,881.4007417639601,10.0,0.20000000000000004,0.043428619529999636,1.3700304653055047,2758.68124527041,458.6812452704098
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,24,F24,50168,10134144400,50168,41978695,50168,501680,50168,10033.6,50168,2220.6465812906895,50168,85197,50168,142623335.70000714,50168,22220135.70000715,50168,4360,1,10,0.2,0.0312956503546677,0,2821.0602735266666,421.0602735266666,300000,1735,10,0.2,0.0897824276780431,50,3453.7762196798094,1053.7762196798094,202004.15404241747,836.7623784085473,10.0,0.2,0.04426420390070741,1.698233933981821,2842.914521208881,442.9145212088812
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,25,F25,64237,10716010440,64237,68874959,64237,642370,64237,12847.400000000001,64237,2807.822016784356,64237,103937,64237,215972606.56969422,64237,55380106.569694236,64237,560,1,10,0.2,0.026825788194655,0,3325.9697233017405,825.9697233017405,300000,2220,10,0.2,0.061986320889179,50,3977.9616794590793,1477.9616794590793,166819.90815262232,1072.2007410059623,10.0,0.2,0.04371035410720233,1.6180238803181968,3362.121621023619,862.1216210236194
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,26,F26,62182,10673190930,62182,64576603,62182,621820,62182,12436.400000000001,62182,2719.359283490394,62182,107077,62182,194776125.5033102,62182,33102925.50331019,62182,710,1,10,0.2,0.0280268760709797,0,3054.903316010727,454.9033160107269,300000,2214,10,0.2,0.0670438551809048,50,3337.4844922621915,737.4844922621915,171644.38149303658,1038.509584767296,10.0,0.2,0.04373225826590322,1.7219935029429738,3132.3554324934903,532.3554324934898
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,27,F27,50850,10108115710,50850,43176881,50850,508500,50850,10170.0,50850,2253.0745345965324,50850,79100,50850,158201096.90502363,50850,20906096.905023646,50850,1410,1,10,0.2,0.0309366582114609,0,2713.186580676126,13.18658067612614,300000,1905,10,0.2,0.0861550994699876,50,4402.579176359139,1702.5791763591387,198783.00314650935,849.1028711897739,10.0,0.2,0.04430825043454341,1.5555555555555556,3111.1326824980065,411.1326824980068
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,28,F28,43306,8558919390,43306,31478744,43306,433060,43306,8661.2,43306,1922.8037388687806,43306,83012,43306,112587835549.17578,43306,112466578749.17578,43306,4760,1,10,0.2,0.0300879523252774,0,5769.351675829919,2969.3516758299197,300000,1775,10,0.2,0.1151080944036774,50,2205209991.6373177,2205207191.6373177,197638.18847272894,726.8910543573638,10.0,0.2,0.044400400380288654,1.91687064148155,2599820.7072732598,2597020.7072732598
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,29,F29,44836,8927183710,44836,33592636,44836,448360,44836,8967.2,44836,1999.7098613443413,44836,79035,44836,318248836739.43805,44836,318118812339.43805,44836,3560,1,10,0.2,0.0277681762795095,0,19077.636112586,16177.636112585998,300000,1638,10,0.2,0.1046151361150051,50,5060413033.581405,5060410133.581405,199107.496431439,749.2335623159961,10.0,0.2,0.044600541113041785,1.7627576054955838,7098064.875087832,7095164.875087832
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Global,1,F1,57597,11279535761,57597,55323410,57597,401599,57597,7441.0910637162215,57597,2456.973493684147,57597,78058,57597,14019418973873.496,57597,14019413214173.496,57597,4810,1,2,0.08001913123241,0.0272722761233697,0,101.9422515462375,1.9422515462375003,300000,1944,12,0.2254574328104336,0.0957822741878495,50,9965737598.719229,9965737498.719229,195835.47339271143,960.5258954459433,6.972568015695262,0.12919233751265208,0.04265801159234243,1.3552441967463582,243405367.88154757,243405267.88154757
