source_file,Algorithm,FunctionID,Function,Run,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,5,1726,358202410,1726,1490401,1726,17260,1726,345.20000000000005,1726,75.49969258209173,1726,2287,1726,4101592.153117075,1726,649592.1531170751,1726,8360,1,10,0.2,0.031678499338595,0,2100.003235756136,100.00323575613584,299960,1726,10,0.2,0.0692914864851358,50,4407.3235854341165,2407.3235854341165,207533.26187717266,863.5,10.0,0.20000000000000004,0.04374257971152475,1.325028968713789,2376.3569832659764,376.3569832659763
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,6,1777,361771480,1777,1579753,1777,17770,1777,355.40000000000003,1777,77.56307591520111,1777,2971,1777,4530354.038242197,1777,976354.038242197,1777,5760,1,10,0.2,0.0329039513133651,0,2429.504884817913,429.5048848179131,299970,1777,10,0.2,0.0867028756560959,50,7983.760411735475,5983.760411735475,203585.52616769838,889.0,10.0,0.2,0.043648326345076593,1.6719189645469894,2549.4395263039937,549.4395263039938
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,7,1764,355254400,1764,1556730,1764,17640,1764,352.8,1764,77.66424524003288,1764,3095,1764,4678804.592677907,1764,1150804.5926779069,1764,9460,1,10,0.2,0.0319285753601423,0,2396.1047190070626,396.1047190070626,299940,1764,10,0.2,0.0860602575270814,50,7140.12788155156,5140.12788155156,201391.38321995465,882.5,10.0,0.2,0.04402734990931569,1.7545351473922903,2652.3835559398567,652.3835559398565
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,8,1749,353327450,1749,1530375,1749,17490,1749,349.8,1749,76.63478948356375,1749,2923,1749,4637775.352857567,1749,1139775.3528575676,1749,7860,1,10,0.2,0.0332791325397941,0,2389.2090451062104,389.2090451062104,299940,1749,10,0.2,0.0858105423938093,50,7239.5935477386065,5239.593547738607,202016.8381932533,875.0,10.0,0.2,0.04381634618842982,1.671240708976558,2651.6725859677344,651.6725859677344
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,9,1772,360733230,1772,1570878,1772,17720,1772,354.40000000000003,1772,77.98274537509212,1772,2881,1772,4374090.2067333795,1772,830090.2067333797,1772,4110,1,10,0.2,0.0330916846705758,0,2320.36873372883,320.3687337288302,299970,1772,10,0.2,0.0859341837424268,50,8420.300287497994,6420.300287497994,203574.05756207675,886.5,10.0,0.2,0.044008321317772076,1.6258465011286682,2468.448197930801,468.4481979308012
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,10,1720,355698750,1720,1480060,1720,17200,1720,344.0,1720,75.39987550248884,1720,2742,1720,4375986.93150227,1720,935986.9315022691,1720,6060,1,10,0.2,0.0326733894322023,0,2363.921112940412,363.9211129404116,299900,1720,10,0.2,0.0841131287613186,50,8683.377124398401,6683.377124398401,206801.5988372093,860.5,10.0,0.2,0.04383713692005165,1.594186046511628,2544.178448547831,544.1784485478308
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,11,1731,354367460,1731,1499046,1731,17310,1731,346.20000000000005,1731,75.97285193941472,1731,2912,1731,4375913.0459533045,1731,913913.0459533045,1731,4710,1,10,0.2,0.0326032617435491,0,2355.454063598409,355.45406359840945,299910,1731,10,0.2,0.0859120468165659,50,7843.397776196005,5843.397776196005,204718.3477758521,866.0,10.0,0.20000000000000004,0.0438895736218456,1.682264586943963,2527.968253005953,527.9682530059529
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,12,1730,351255100,1730,1497315,1730,17300,1730,346.0,1730,75.85634269740825,1730,2848,1730,5611742.598260942,1730,2151742.598260942,1730,5960,1,10,0.2,0.0327157655277157,0,3097.092888138471,1097.0928881384712,299950,1730,10,0.2,0.0841767111868052,50,9855.438618987171,7855.438618987171,203037.63005780347,865.5,10.0,0.2,0.04384759693491806,1.646242774566474,3243.7818487057466,1243.7818487057468
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,13,1739,354866450,1739,1512930,1739,17390,1739,347.8,1739,76.589773961128,1739,3007,1739,4465705.122912058,1739,987705.1229120579,1739,5160,1,10,0.2,0.0326307552840314,0,2380.0080372954426,380.0080372954426,299940,1739,10,0.2,0.0869737680166688,50,8559.269300843724,6559.269300843724,204063.51351351352,870.0,10.0,0.2,0.04404242320938931,1.729154686601495,2567.973043652707,567.9730436527072
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,14,1764,361274400,1764,1556730,1764,17640,1764,352.8,1764,77.45338866624846,1764,2662,1764,4323655.418167603,1764,795655.4181676033,1764,6110,1,10,0.2,0.032636242830357,0,2314.0879268823805,314.08792688238054,299990,1764,10,0.2,0.0888898027793447,50,8850.74102208039,6850.74102208039,204804.08163265305,882.5,10.0,0.2,0.04390781670422248,1.5090702947845804,2451.051824358052,451.05182435805176
